keyword_searched,dc_title,dc_creator,dc_publisher,dc_date,dc_type,dc_format,dc_language,dc_source,dc_relation,dc_description,ark,gallica_url,year,journal_title
choléra,"Le National : feuille politique et littéraire / [rédacteurs en chef A. Thiers, Mignet, A. Carrel]",,[s.n.] (Paris),1832-05-07,texte,,fre,"Bibliothèque et Archives de l'Assemblée nationale, AN_sans_cote",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32822285p,07 mai 1832,https://gallica.bnf.fr/ark:/12148/bpt6k1517305x,https://gallica.bnf.fr/ark:/12148/bpt6k1517305x,1832,"Bibliothèque et Archives de l'Assemblée nationale, AN_sans_cote"
épidémie,Rapport sur les vaccinations pratiquées en France ...,France. Comité central de vaccine. Auteur du texte,Imprimerie impériale (Paris),1855,texte,Nombre total de vues : 9788,fre,"Bibliothèque de l'Académie nationale de médecine, 2012-195998",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32848237p,1855,https://gallica.bnf.fr/ark:/12148/bpt6k6357055f,https://gallica.bnf.fr/ark:/12148/bpt6k6357055f,1855,"Bibliothèque de l'Académie nationale de médecine, 2012-195998"
choléra,"Le Mouvement médical : journal de l'enseignement médical, pharmaceutique et vétérinaire",,Asselin (Paris),1865-10-20,texte,,fre,"Bibliothèque de l'Académie nationale de médecine, 2016-180304",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32820608v,20 octobre 1865,https://gallica.bnf.fr/ark:/12148/bpt6k9739805z,https://gallica.bnf.fr/ark:/12148/bpt6k9739805z,1865,"Bibliothèque de l'Académie nationale de médecine, 2016-180304"
épidémie,"Le Mouvement médical : journal de l'enseignement médical, pharmaceutique et vétérinaire",,Asselin (Paris),1865-10-10,texte,,fre,"Bibliothèque de l'Académie nationale de médecine, 2016-180304",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32820608v,10 octobre 1865,https://gallica.bnf.fr/ark:/12148/bpt6k9739806c,https://gallica.bnf.fr/ark:/12148/bpt6k9739806c,1865,"Bibliothèque de l'Académie nationale de médecine, 2016-180304"
variole,"Journal de la Côte-d'Or : feuille politique, littéraire, commerciale et industrielle...",,Imprimerie de Simonnot-Carion (Dijon),1845-02-13,texte,,fre,"Bibliothèque nationale de France, département Droit, économie, politique, JO-406",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb42306729c,13 février 1845,https://gallica.bnf.fr/ark:/12148/bd6t51153913f,https://gallica.bnf.fr/ark:/12148/bd6t51153913f,1845,"Bibliothèque nationale de France, département Droit, économie, politique, JO-406"
contagion,Recueil de médecine vétérinaire,,Gabon (Paris),1847-12-01,texte,Nombre total de vues : 108111,fre,"Ecole nationale vétérinaire d'Alfort, 2012-67831",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb375835704,01 décembre 1847,https://gallica.bnf.fr/ark:/12148/bpt6k6276419z,https://gallica.bnf.fr/ark:/12148/bpt6k6276419z,1847,"Ecole nationale vétérinaire d'Alfort, 2012-67831"
choléra,"Journal de Villefranche : littérature, agriculture, industrie, annonces",,[s.n.] (Villefranche[-de-Rouergue]),1866-08-04,texte,,fre,"Archives départementales de l'Aveyron, 46 PER",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32799032h,04 août 1866,https://gallica.bnf.fr/ark:/12148/bd6t53716443j,https://gallica.bnf.fr/ark:/12148/bd6t53716443j,1866,"Archives départementales de l'Aveyron, 46 PER"
contagion,Courrier des hôtels et Guide du commerce réunis : moniteur de l'exportation,,[s.n.] (Paris),1866-05-24,texte,Nombre total de vues : 8162,fre,"Bibliothèque nationale de France, département Littérature et art, V-12064",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32751020r,24 mai 1866,https://gallica.bnf.fr/ark:/12148/bpt6k6207258r,https://gallica.bnf.fr/ark:/12148/bpt6k6207258r,1866,"Bibliothèque nationale de France, département Littérature et art, V-12064"
épidémie,"Moniteur de l'île Bourbon : officiel, politique, littéraire, industriel {et} annonces légales [""puis"" journal officiel et d'annonces légales ""puis"" politique, littéraire, commercial, industriel ""puis"" journal politique, littéraire, commercial, industriel et d'annonces légales ""puis"" journal quotidien de l'île de La Réunion]",,[s.n.] (Saint-Denis),1867-05-22,texte,,fre,"Bibliothèque nationale de France, département Droit, économie, politique, JO-3042",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328186820,22 mai 1867,https://gallica.bnf.fr/ark:/12148/bpt6k6010789n,https://gallica.bnf.fr/ark:/12148/bpt6k6010789n,1867,"Bibliothèque nationale de France, département Droit, économie, politique, JO-3042"
choléra,Gazette médicale de Lyon,Société de médecine (Lyon). Auteur du texte,[s.n.] (Lyon),1854,texte,Nombre total de vues : 10570,fre,Bibliothèque nationale de France,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34368133v,1854,https://gallica.bnf.fr/ark:/12148/bpt6k200754s,https://gallica.bnf.fr/ark:/12148/bpt6k200754s,1854,Bibliothèque nationale de France
